Timestamp	Enter your user id (prefilled, do not change)	Damage to the spinal cord could cause impairment of which of the following functions?	Damage to the brainstem could cause impairment of which of the following functions?	Damage to the forebrain could cause impairment of which of the following functions?	A mutation that led to the degeneration of glial cells could result in which of the following?	Which of the following are inside (underneath) the arachnoid layer?	Within a neuron, information flows in which direction(s)?	Between neurons, information flows in which directions?	There are no more than 100,000 motoneurons and yet these are the only neurons that:	Which of the following are true of myelin?	An intracranial tumor is least likely to be made up of which type of cells?	You discover a new toxin which, like most toxins, is a large molecule that can reach peripheral neurons but cannot cross the meninges on its own. Which of the following symptoms may result from exposure to this toxin?
9/19/2014 11:43:36	angelicachavez					Dura, Pia			Send a process out that leaves the central nervous system, Allow us to express ourselves volitionally, Travel through the spinal cord	It covers all axons in the central nervous system, It changes the speed at which action potentials travel down an axon, increasing the speed in some axons and decreasing it in others	Neurons	Paralysis of voluntary muscles
9/19/2014 21:35:28	minh1					Pia, Motoneuronal cell bodies, Neurons of the spinal cord			Send a process out that leaves the central nervous system, Innervate voluntary muscles such as the quadriceps or biceps, Allow us to express ourselves volitionally	It covers all axons in the central nervous system, It covers some of the axons in the peripheral nervous system	Lung, Neurons	Paralysis of voluntary muscles, Dry mouth due to lack of salivation, Constipation due to gut immobility
9/19/2014 23:02:08	nathanjones1					Dura, Pia			Send a process out that leaves the central nervous system, Innervate voluntary muscles such as the quadriceps or biceps, Allow us to express ourselves volitionally, Travel through the spinal cord, Have dendrites	It covers all axons in the central nervous system, It changes the speed at which action potentials travel down an axon, increasing the speed in some axons and decreasing it in others	Lung	Paralysis of voluntary muscles
9/20/2014 1:41:10	marcellaweiss1					Pia			Send a process out that leaves the central nervous system, Innervate voluntary muscles such as the quadriceps or biceps, Allow us to express ourselves volitionally, Travel through the spinal cord	It covers all axons in the central nervous system, It covers some of the axons in the peripheral nervous system	Neurons	Paralysis of voluntary muscles
9/20/2014 1:42:28	angilewis1					Pia			Send a process out that leaves the central nervous system	It covers all axons in the central nervous system	Pituitary cells	Paralysis of voluntary muscles
9/20/2014 2:49:27	sakshisundaram1					Pia, Autonomic ganglion neurons			Innervate voluntary muscles such as the quadriceps or biceps, Allow us to express ourselves volitionally, Travel through the spinal cord	It covers all axons in the central nervous system	Pituitary cells	Paralysis of voluntary muscles, Constipation due to gut immobility
9/20/2014 12:50:23	reference					Pia, Motoneuronal cell bodies, Neurons of the spinal cord			Innervate voluntary muscles such as the quadriceps or biceps, Allow us to express ourselves volitionally	It covers some of the axons in the peripheral nervous system	Neurons	Paralysis of voluntary muscles, Dry mouth due to lack of salivation, Constipation due to gut immobility
9/20/2014 13:45:11	allchecked					Dura, Pia, Motoneuronal cell bodies, Autonomic ganglion neurons, Neurons of the spinal cord			Send a process out that leaves the central nervous system, Innervate voluntary muscles such as the quadriceps or biceps, Allow us to express ourselves volitionally, Travel through the spinal cord, Have dendrites	It covers all axons in the central nervous system, It covers some of the axons in the peripheral nervous system, It changes the speed at which action potentials travel down an axon, increasing the speed in some axons and decreasing it in others, Losing myelin will increase the conduction velocity of action potentials	Lung, Arachnoid, Pituitary cells, Astrocytes, Neurons	Amnesia, Depression, Paralysis of voluntary muscles, Dry mouth due to lack of salivation, Constipation due to gut immobility
9/20/2014 13:49:23	johnnyxu					Pia			Travel through the spinal cord	It covers all axons in the central nervous system, It changes the speed at which action potentials travel down an axon, increasing the speed in some axons and decreasing it in others	Neurons	Depression
9/20/2014 15:15:24	jiawenli					Dura			Innervate voluntary muscles such as the quadriceps or biceps, Allow us to express ourselves volitionally	It changes the speed at which action potentials travel down an axon, increasing the speed in some axons and decreasing it in others	Neurons	Amnesia, Depression, Paralysis of voluntary muscles, Dry mouth due to lack of salivation, Constipation due to gut immobility
